# TextPAIR modernization map: <historical form>	<modern form>
# One pair per line, tab-separated. Edit freely; the .mpk cache
# next to this file is rebuilt automatically when this file changes.
'a	he
aloune	alone
alow	allow
alow'd	aloud
alow'st	allowest
alowable	allowable
alowance	allowance
alowd	aloud
alowde	allowed
alowe	allow
alowed	aloud
alowes	allows
aloye	alloy
alphabeticall	alphabetical
alphesiboevs	alphesiboeus
alread	already
alreadie	already
alreadie's	already's
alreadye	already
alredie	already
alredy	already
alredye	already
als	also
als'unpay'd	als'unpayed
altar'd	altared
altar-wise	altarwise
altare	altar
alter'd	altered
alteracion	alteration
alteracions	alterations
alteracyon	alteration
alterd	altered
althea	althaea
altheas	althaeas
althing	allthing
althinges	allthings
altho	although
althogh	although
althoug	although
althoughe	although
altogither	altogether
altogyther	altogether
altred	altered
altring	altering
aludes	alludes
alure	allure
alurements	allurements
alv.	alu.
alvmnvs	alumnus
alvvaies	always
alwaie	alway
alwaies	always
alwais	always
alway	always
alwaye	alway
alwayes	always
alye	aly
alyke	alike
alyue	alive
am'd	amed
am'rous	amorous
amaine	amain
amalasvnta	amalasunta
amarous	amorous
amas'd	amazed
amasde	amazed
amase	amaze
amased	amazed
amaseth	amasseth
amaui	amavi
amauit	amavit
amayn	amain
amayne	amain
amaz'd	amazed
amaz'de	amazed
amazd	amazed
amazd'd	amazded
amazde	amazed
amazment	amazement
amā	aman
ambassadour	ambassador
ambassadoures	ambassadors
ambassadours	ambassadors
ambassie	ambassy
ambicious	ambitious
ambiguitie	ambiguity
ambitioniz'd	ambitionized
ambitiouslie	ambitiously
ambitiō	ambition
ambiton	ambition
ambitous	ambitious
ambuscadoes	ambuscades
ambushmentes	ambushments
ambusht	ambushed
ambycyō	ambycyon
amd	and
ame	am
amelvs	amelus
amende	amend
amendement	amendment
amendes	amends
amendyd	amended
amēd	amend
amiablenes	amiableness
amiablenesse	amiableness
amid'st	amidst
amidde	amid
amis	amiss
amise	amiss
amisse	amiss
amitie	amity
amitye	amity
amīs	amins
among'st	amongst
amonge	among
amonges	among
amongest	amongst
amonst	amongst
amoret	amouret
amorist	amourist
amorists	amourists
amorouse	amorous
amorouslie	amorously
amorousnes	amorousness
amorousnesse	amorousness
amorovs	amorous
amorphvs	amorphus
amorus	amorous
amountyng	amounting
amourous	amorous
amourously	amorously
amōg	among
amōge	among
amōgst	among
amphitheater	amphitheatre
amphitriō	amphitrion
amplie	amply
amplifie	amplify
amplye	amply
amplyfied	amplified
amuraths	amurath's
amus'd	amused
amuze	amuse
amvrath	amurath
amyable	amiable
amyd	amid
amysse	amiss
amytie	amity
an-end	anend
an-hungry	hungry
analogie	analogy
anarchie	anarchy
anatomie	anatomy
anatomistes	anatomists
anatomiz'd	anatomised
anatomize	anatomise
anatomizing	anatomising
ancesters	ancestors
ancestours	ancestors
ancestrie	ancestry
ancetors	ancestors
anchor'd	anchored
anchore	anchor
anchoresse	anchoress
anchoues	anchoves
anchouis	anchovis
ancien'st	ancientest
ancient'st	ancientest
ancientes	ancients
ancientst	ancientest
anciēt	ancient
anckle	ankle
anckles	ankles
ancle	ankle
ancles	ankles
ancor	anchor
ancors	anchors
and-a	and
andd	and
ande	and
andrevv	andrew
andvverpe	andwerpe
aneuer	anever
anewe	anew
anexed	adnexed
angel'd	angeled
angel-ey'd	angel-eyed
angel-like	angellike
angel-soules	angel-souls
angelicall	angelical
angell	angel
angell-beauty	angel-beauty
angell-guide	angel-guide
angell-like	angellike
angell-proofe	angel-proof
angell-traine	angel-train
angelles	angels
angellēs	angellens
angells	angels
anger'd	angered
anger'st	angerest
angerd	angered
anglica	anglicam
anglvs	anglus
angre	anger
angred	angered
angrie	angry
angring	angering
angrye	angry
anguysh	anguish
anguyshe	anguish
anie	any
anie's	any's
animaduersion	animadversion
animall	animal
animalls	animals
anioy	anjoy
anioy.	anjoy.
anise-seeds	aniseeds
aniuersaries	aniversaries
anker	anchor
ankers	anchors
annall	annal
annalls	annals
anncestors	ancestors
annd	and
annext	annexed
annihillate	annihilate
anniseed	aniseed
annoid	annoyed
annoies	annoys
annoint	anoint
annointed	anointed
annother	another
annoy'd	annoyed
annoyde	annoyed
annoye	annoy
annoyes	annoys
annoynt	anoint
annoynted	anointed
annuall	annual
annuitie	annuity
annul'd	annulled
annull'd	annulled
annū	annum
anoher	another
anone	anon
anotamiz'd	anotamized
anotamy	anatomy
anoter	another
anothers	another's
anotomy	anatomy
anoy	annoy
anoyance	annoyance
anoyd	annoyed
anoyde	avoid
anoye	annoy
anoynt	anoint
anoynted	anointed
anoyntynge	anointing
ansvver	answer
ansvvere	answer
ansvvered	answered
answear	answer
answeare	answer
answer'd	answered
answer'st	answerest
answerd	answered
answere	answer
answereable	answerable
answeres	answers
answerlesse	answerless
answerynge	answering
antartique	antarctic
ante-dated	antedated
antheames	anthems
anthem'd	anthemed
antheme	anthem
anti-masque	antimasque
antick	antic
antick-like	antic-like
antick-maskers	antic-maskers
anticke	antic
antickes	antics
antickly	antically
anticks	antics
anticque	antique
antidate	antedate
antidated	antedated
antidates	antedates
antidots	antidotes
antient	ancient
antiently	anciently
antients	ancients
antiēt	ancient
antike	antic
antinovs	antinous
antipathie	antipathy
antiquarie	antiquary
antiquaryes	antiquaries
antiquitie	antiquity
antonivs	antonius
antvverpe	antwerpe
antypathy	antipathy
anuill	anvil
anvile	anvil
anvill	anvil
anxietie	anxiety
any-body	anybody
any-thing	anything
any-way	anyway
any-where	anywhere
anye	any
an̄d	and
ap'd	aped
apaide	apaid
apal'd	appalled
apall	appal
aparant	apparent
